AdID,職位名稱,公司名稱,發布日期,職位詳情連結
HS26051501,教學助理 (輔導 / SEN / 訓導 / 聯課活動) (2026/27 年度),新界喇沙中學 DE LA SALLE SECONDARY SCHOOL NT,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051501/%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-%E8%BC%94%E5%B0%8E-SEN-%E8%A8%93%E5%B0%8E-%E8%81%AF%E8%AA%B2%E6%B4%BB%E5%8B%95-2026-27-%E5%B9%B4%E5%BA%A6-
HS26051491,英文科常額 / 合約教師,聖公會聖彼得小學 SKH ST PETER'S PRIMARY SCHOOL,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051491/%E8%8B%B1%E6%96%87%E7%A7%91%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84%E6%95%99%E5%B8%AB
HS26051481,Associate Teacher (English) (Contract),梁式芝書院 LEUNG SHEK CHEE COLLEGE,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051481/Associate-Teacher-English-Contract-
HS26051442,教學助理,中華基督教會蒙黃花沃紀念小學 C C C MONG WONG FAR YOK MEMORIAL PRIMARY SCHOOL,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051442/%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86
HS26051441,常額助理小學學位教師 (英文科),中華基督教會蒙黃花沃紀念小學 C C C MONG WONG FAR YOK MEMORIAL PRIMARY SCHOOL,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051441/%E5%B8%B8%E9%A1%8D%E5%8A%A9%E7%90%86%E5%B0%8F%E5%AD%B8%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB-%E8%8B%B1%E6%96%87%E7%A7%91-
HS26051413,兼職樂器老師 (敲擊樂 Percussion) (2026-2027 學年),聖士提反書院附屬小學 ST. STEPHEN'S COLLEGE PREPARATORY SCHOOL,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051413/%E5%85%BC%E8%81%B7%E6%A8%82%E5%99%A8%E8%80%81%E5%B8%AB-%E6%95%B2%E6%93%8A%E6%A8%82-Percussion-2026-2027-%E5%AD%B8%E5%B9%B4-
HS26051412,兼職樂器老師 (巴松管 Bassoon) (2026-2027 學年),聖士提反書院附屬小學 ST. STEPHEN'S COLLEGE PREPARATORY SCHOOL,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051412/%E5%85%BC%E8%81%B7%E6%A8%82%E5%99%A8%E8%80%81%E5%B8%AB-%E5%B7%B4%E6%9D%BE%E7%AE%A1-Bassoon-2026-2027-%E5%AD%B8%E5%B9%B4-
HS26051411,兼職樂器老師 (長笛 Flute) (2026-2027 學年),聖士提反書院附屬小學 ST. STEPHEN'S COLLEGE PREPARATORY SCHOOL,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051411/%E5%85%BC%E8%81%B7%E6%A8%82%E5%99%A8%E8%80%81%E5%B8%AB-%E9%95%B7%E7%AC%9B-Flute-2026-2027-%E5%AD%B8%E5%B9%B4-
HS26051352,體育發展及行政助理,瑪利諾中學 MARYKNOLL SECONDARY SCHOOL,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051352/%E9%AB%94%E8%82%B2%E7%99%BC%E5%B1%95%E5%8F%8A%E8%A1%8C%E6%94%BF%E5%8A%A9%E7%90%86
HS26051351,英文科教師,瑪利諾中學 MARYKNOLL SECONDARY SCHOOL,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051351/%E8%8B%B1%E6%96%87%E7%A7%91%E6%95%99%E5%B8%AB
